Date (GMT),Job Link,19,Property name,Property address,Property details,Property description,Property amenities,Other instructions,Sleeping arrangements,Rate,Currency
2023-05-19 17:45:10,https://dashboard.browse.ai/teams/personal/robots/08b97ebd-3b8b-4af9-8d6e-af070d2ea256/history/c8823198-0d9f-4c59-af8c-f47e6c138a58,https://cabotcoast.bookeddirectly.com/g/dingwall/oceanfront-luxury-guesthouse/fdac79?number_of_guests=1,Oceanfront Luxury Guesthouse,"1092 White Point Road, Dingwall",1 bedroom 1 bed 2 guests 1 bathroom,"Located on the same property as the Conservatory Main House, guests can take advantage of being right in the heart of the Cape Breton Highlands.

Guests can relax and enjoy stunning views of White Point beach, rain or shine, under the covered patio. This one bedroom unit has an ensuite bathroom with a standing shower and an eat-in kitchen. Guests can be sure to stay cozy with the wood fireplace in the living area. a Request can be made for the private HotTub located I the Courtyard.","Dishes & Utensils
Kitchen
Pantry Items
Stove
Linens Provided
Towels Provided
Free parking on premises
Hair Dryer
Television
Hot Tub
Outdoor Grill
Carbon monoxide detector
Smoke detector","Check-in: 3pm
Check-out: 11am",Queen bed,"$275

per night",$ CAD
2023-05-19 17:45:15,https://dashboard.browse.ai/teams/personal/robots/08b97ebd-3b8b-4af9-8d6e-af070d2ea256/history/ac3581a3-ad97-4a9d-92d5-dcded5d22b74,https://cabotcoast.bookeddirectly.com/g/dingwall/oceanfront-conservatory-estate/29c4e3?number_of_guests=1,Oceanfront Conservatory Estate,"1092 White Point Road, Dingwall",3 bedrooms 4 beds 6 guests 3.5 bathrooms,"Take in the stunning views of the Cape Breton Highlands atop this cliff side estate.

Complete with a library overlooking the beautiful South Harbour beach, guests will feel right at home in the Conservatory Estate. The Main House has a spacious kitchen with a dining area, a recreation room that opens onto a wrap around deck, and 3 bedrooms, allowing space for 6 guests. Enjoy views of South Harbour and White Point Beach from throughout the property. Hot Tub available.

The Conservatory Estate sits high on South Mountain overlooking South Harbour Beach. It offers spectacular views throughout, several Cliff-side lookouts and walking Paths.

Courtyard, HotTub , and an unforgettable experience

#cabotcoast","Oven
Microwave
Coffee Maker
Dishes & Utensils
Dishwasher
Kitchen
Pantry Items
Refrigerator
Stove
Internet
Heating
Washing Machine
Linens Provided
Towels Provided
Free parking on premises
Free street parking
Paid parking off premises
Hair Dryer
Iron & Board
Fireplace
Television
Toys
Hot Tub
Lawn / Garden
Outdoor Grill
Fire extinguisher
Carbon monoxide detector
Smoke detector","Check-in: 3pm
Check-out: 11am","Queen bed
 
Queen bed
 
Double bed
 
Double bed","$625

per night",$ CAD
2023-05-19 17:45:20,https://dashboard.browse.ai/teams/personal/robots/08b97ebd-3b8b-4af9-8d6e-af070d2ea256/history/baa06cf2-06ee-493a-9342-bdb07ac2e452,https://thebrexley.bookeddirectly.com/g/scottsdale/the-brexley/096384?number_of_guests=1,The Brexley,"Camino De Los Ranchos, Scottsdale","5 bedrooms
5 beds
10 guests
3 bathrooms","FULL HOME TOUR ON YOUTUBE: https://youtu.be/tRPCPlnP3Js (Copy and paste into your browser) Calm natural textiles and warm earthy tones welcome you to rest and reset. The open-concept living room features expansive pocket doors/windows completely disappearing inside the walls which seamlessly blends the interior and exterior. Step outside to the distinctively designed backyard oasis which is surrounded by lush greenery and soothing sounds of water. Unwind with a glass of wine by the outdoor fire pit or host an intimate open-air dinner under the woven baskets. The Brexley was recently recognized as ""Best Hidden Gem Staycation"" by Modern Luxury Magazine and featured on their Summer 2022 cover. AGE REQUIREMENT: PERSON BOOKING MUST BE 25 YEARS OF AGE AT THE TIME OF BOOKING. We will ask for the ID used at the time of booking to be present at the time of check-in. TRUST & SAFETY: You give permission to SafelyStay, Inc., to verify your identity, and check criminal databases in order to confirm your reservation. BACHLORETTES: Only low-key wellness type bachelorettes are allowed. BOOKING RULES: The Brexley is on a Strict Cancellation Policy. No refunds will be offered or exceptions made for cancellation requests past what is stated in the policy. We highly recommend buying travel insurance to cover any unforeseen events or illnesses. SECURITY CAMERAS: For security and insurance purposes, we have installed security cameras for monitoring the entry door, garage and side gate walkway. The cameras do not monitor the interior or outdoor living areas. LOCAL ORDINANCES: Local ordinances have banned all venues/parties/weddings at short term rentals. If local law enforcement officers are required the guest is responsible for any and all fines and will be evicted immediately with no refunds. PARKING: Two car max. Park in driveway or garage. No street parking. NO PARTIES. NO EVENTS. NO WEDDINGS. NO LARGE GATHERINGS. NO UNAUTHORIZED PEOPLE ON THE PREMISES. CHECK-IN: 4pm CHECK-OUT: 10am RESIDENTIAL NOISE: We are in a safe and quiet neighborhood so please be respectful of the neighbors. ALWAYS keep noise at a minimum. Music or any kind of sound must be turned down at 9pm. This home and backyard are monitored by Noise Aware (Noise sensors don't record sounds. They monitor changes in the noise level) NO SMOKING. NO DRUGS PETS: No pets allowed and absolutely no exception. Our property has toxic plants on the premises that can cause fatality if ingested. Unauthorized animals on the property will be fined $5,000 per violation plus any necessary deep cleaning/damage fees. DECORATIONS: Do not tape anything to the walls, ceiling or stucco. ADDITIONAL GUESTS: No additional people on the property, unless approved in writing by the owner. Only the guests listed on the reservation are allowed on the property. VENDORS: Only approved vendors are allowed on the property. RATE CHANGES: Rates are subject to change without notice. POOL HEAT: Pool can be heated for an additional cost. PHOTOSHOOTS: No commercial photography, couples photoshoot, elopements or events booking without prior consent since these are charged at a different rate. This also applies to sponsored social media posts promoting a product or brand. We rent the home on Peerspace for photoshoots & events. Fees for photoshoots are separate from lodging fees. If you’re not sure what constitutes a commercial shoot, feel free to ask. Direct bookings are for lodging purposes only. Minimum of $10,000 fine per violation. EARLY CHECK-IN + LATE CHECKOUT REQUESTS: We are usually booked back-to-back and can only accommodate early check-in or late checkout requests if there are no other guests checking in or out the day of your request. There is a fee of $75/hr for early check-in or late checkout requests only when available and with prior approval from us. FALSIFIED RESERVATIONS: Any reservation obtained under false pretense will be subject to forfeiture of advance payment, deposit, and/or rental money and the party will not be permitted to check-in or will be evicted immediately. WRITTEN EXCEPTIONS: Any exceptions to the above mentioned policies must be approved in writing in advance. MAXIMUM OCCUPANCY: Maximum of 10 people. REFUNDABLE DAMAGE/SECURITY DEPOSIT: $2,500.00 CANCELLATION POLICY: If Guest cancels 90 days or more prior to the Arrival Date, Guest will incur no penalty and will be refunded the money paid, minus processing fee's. For cancellations between 61-90 days prior to Arrival Date, 50% of the agreed upon rent from the Guest will be forfeited. For cancellations within 60 days prior to Arrival Date, there will be no refund. AMENITIES: MISTING SYSTEM: Entire backyard misting system with remote. *seasonal MATTRESSES: Tuft & Needle mattress featuring a patented T&N Adaptive® foam technology, the T&N Original delivers body contouring and bounce-back support. The foam helps prevent deep body impressions while wicking away heat for a deep, restful sleep. It is great for back and stomach sleepers. BEDDING: Our bedding is made from natural, stonewashed linen. The temperature-regulating properties of linen will keep you warm in the winter and cool in the hotter months, helping you sleep comfortably. ROBES: The Brexley branded robes are designed for ultimate luxury and comfort with a plush inner liner. Two in each bedroom. LOTION: OSEA hydrating cream. SHAMPOO + CONDITIONER + BODY WASH: Rudy's shampoo, conditioner and body wash, coconut oil and other ingredients derived from coconut, you still get that creamy foam lather you know and love without relying on harmful sulfates. Rudy's anti-static formula, rich in Pro-Vitamin B5, is safe for all types of hair, even color-treated. SHOWERS: Rain showers with natural stone wall cladding. HAIR DRYERS: T3 professional hair dryers. KITCHEN APPLIANCES: Fully fitted kitchen with 14' island, Sub-Zero, Wolf and Asko appliances. Convection oven, Induction cooktop, dishwasher, wine cooler, microwave. Small kitchen appliances..toaster, Instant Vortex Air Fryer, Vita-mix blender, Bullet, Nespresso machine, Keurig DUO single serve and carafe coffee maker. SPICES: 46 spices and rubs. COFFEE: Complimentary Nespresso Pods, Peet's coffee, ground and pods. DRINKING WATER: Reverse Osmosis HOME WATER SYSTEM: Soft Water System FURNITURE: Restoration Hardware + Crate & Barrel INDOOR GAS FIREPLACE: Turns on with remote. BLUETOOTH SPEAKERS: Bang & Olufsen + Marshall CLOTHING STEAMER: Steamery steamer COOLERS: 2 Yeti hard coolers. INSULATED DRINKING CUPS: Yeti 26 ounce insulated cups with straw lids for fewer refills and will keep your drink the right temp. MODERN LANTERNS: Portable lanterns to place around the pool for added backyard ambiance. OUTDOOR FIREPIT: Turn on with a key and lighter/match. S'MORE ROASTING SKEWERS TABLESCAPING: Tablescaping supplies for the perfect dining experience. GAMES: Restoration Hardware Games: (Monopoly, Scrabble, Backgammon, Yahtzee and Dominoes) THERMOSTATS: 2 Nest thermostats. WASHER + DRYER: 2 Speed Queen washer/dryer sets. COMPLIMENTARY SUPPLIES: Laundry detergent, paper towels, toilet paper, dish soap, dishwasher tabs, hand soap, sponges, garbage bags, foil, clear wrap, zip lock bags, bandaids, printer paper and ink, pens, pencils, and cleaning supplies. PRINTER/SCANNER/COPIER: HP Envy Inspire 7900 Series INTERNET: High Speed Internet TV: Sony Smart TV. Hulu, Netflix. YOGA: 10 Yoga mats. BBQ: Grill. Complimentary propane. USB PORTS: Interior and exterior. Centrally located. CLOSEST AIRPORTS: Scottsdale Airport (SDL) 2.4 miles Sky Harbor (PHX) 19 miles Phoenix-Mesa Gateway Airport (IWA) 26 miles Tucson International Airport (TUS) 118 miles BARRETT JACKSON: 12 min (4.3 miles) SCOTTSDALE MUSEUM OF CONTEMPORARY ART: 22 min (13 miles) CHAMPIONS COURSE AKA TPC SCOTTSDALE: 10 min (3.7 miles) SCOTTSDALE STADIUM: 18 min (13 miles) ARABIAN HORSE SHOW: 6 min (2.2 miles) KIERLAND COMMONS: 4 min (1.4 miles) SCOTTSDALE QUARTER: 4 min (1.7 miles) PARADISE VALLEY MALL: 7 min (3.4 miles) OLD TOWN SCOTTSDALE: 19 min (8.1 miles) STATE FARM STADIUM: 38 min (33 miles) BOTANICAL GARDEN: 24 min (17 miles) TALIESIN WEST: 16 min (7.1 miles) IG: @thebrexley www.thebrexley.com License 21367246","Oven
Microwave
Toaster
Coffee Maker
Dishes & Utensils
Dishwasher
Kitchen
Refrigerator
Stove
Internet
Air Conditioning
Heating
Washing Machine
Clothes Dryer
Linens Provided
Towels Provided
Parking
Free parking on premises
Free street parking
Hair Dryer
Iron & Board
Fireplace
Garage
Fax
Living Room
Television
Books
Games
Stereo
Private Pool
Heated Pool
Lawn / Garden
Outdoor Grill
Free wifi
Cleaned with disinfectant
Fire extinguisher
Carbon monoxide detector
Smoke detector","Check-in: 4pm
Check-out: 10am","King bed
King bed
Queen bed
King bed
Queen bed","$550

per night",$ USD
2023-05-19 17:45:49,https://dashboard.browse.ai/teams/personal/robots/08b97ebd-3b8b-4af9-8d6e-af070d2ea256/history/f1c8b432-4195-4926-a08d-7068b8db9b25,https://cabotcoast.bookeddirectly.com/g/inverness/oceanfront-lighthouse-cottage/4ed83c?number_of_guests=1,Oceanfront Lighthouse Cottage,"2581 Shore Road, Inverness",1 bedroom 1 bed 2 guests 1 bathroom,"￼

Lighthouse Cottage

CABOT COAST

Lighthouse Cottage

This cottage is a two-story vacation home, with both floors having spacious decks overlooking the Gulf of St. Lawrence.
The Lighthouse Cottage is complete with an open concept kitchen and living space on the upper floor and bedroom with queen bed and ensuite on the lower floor. Both floors have spacious decks overlooking the Gulf of St. Lawrence, where guests can enjoy their morning coffee. Seaside Sauna Maybe available on request.","Oven
Microwave
Coffee Maker
Dishes & Utensils
Kitchen
Pantry Items
Refrigerator
Stove
Heating
Linens Provided
Towels Provided
Free parking on premises
Hair Dryer
Iron & Board
Lawn / Garden
Fire extinguisher
Carbon monoxide detector
Smoke detector","Check-in: 3pm
Check-out: 11am",Queen bed,"$285

per night",$ CAD
2023-05-19 17:46:27,https://dashboard.browse.ai/teams/personal/robots/08b97ebd-3b8b-4af9-8d6e-af070d2ea256/history/e62006d7-3161-48ce-8881-5057389a6857,https://hearthhollowhomes.bookeddirectly.com/g/canton/king-bed%252C-breakfast%252C-fireplace-%2526-luxe-hot-tub/6ec005?number_of_guests=1,"King Bed, Breakfast, Fireplace & Luxe Hot Tub","Great Sky, Canton",2 bedrooms 4 beds 7 guests 1 bathroom,"Visit the Highland Terrace overlooking the foothills of the Blue Ridge mountains! Featuring 2 bedrooms with King and Queen bedrooms, additional Queen sized sofa bed and a spacious full bath with a real soaking tub. Our kitchenette has a mini fridge, microwave and Keurig for your convenience. Continental breakfast and snacks are included!

❈ King / Queen bedrooms
❈ Hybrid memory foam + spring mattresses for ultimate comfort
❈ Luxurious high thread count cotton sheets
❈ Queen size sofa bed
❈ Spacious full bath + soaking tub
❈ Kitchenette mini fridge + microwave + table top oven + Keurig + Ice Maker
❈ Complimentary continental breakfast + snacks + drinks

Additionally:

❈ On-premises childcare available

➺ For exceptional air sanitation we have invested in a PremierOne whole-house germicidal Millennium UV air purification system, as well as upgraded MERV 12 & 14 air filtration and ozone sanitizing before and after every guest. Stay with confidence!

➺ Smart TVs in each bedroom and living room have access to complimentary Netflix, Hulu+, Prime Video, Disney+ and more, as well as high speed Wifi internet. Plenty of dedicated USB outlets in each bedroom, office and kitchenette areas.

➺ Expansive outdoor living room deck with plush outdoor furniture, tables, umbrellas, loungers and a gorgeous wood burning stone fireplace which overlooks the private, thickly wooded backyard.

➺ Regulation air hockey table in the main living area for extra fun.

➺ Please note: This daylight apartment is a private walkout on the basement/terrace level below this large single family home. The terrace is fully accessible to guests, as well as all outdoor areas at the rear of the home. Storage areas, furnace room and the upper two levels of the house are off-limits to guests.","Oven
Microwave
Toaster
Coffee Maker
Dishes & Utensils
Kitchen
Kitchenette
Refrigerator
Internet
Air Conditioning
Heating
Linens Provided
Towels Provided
Parking
Free parking on premises
Hair Dryer
Iron & Board
Fireplace
Living Room
Television
Game Room
Foosball
Games
Satellite / Cable
Toys
Hot Tub
Lawn / Garden
Outdoor Grill
Free wifi
Cleaned with disinfectant
Fire extinguisher
Carbon monoxide detector
Smoke detector","Check-in: 4pm
Check-out: 11am","King bed
 
Queen bed
 
Sofa bed
 
Single bed","$193

per night",$ USD
2023-05-19 17:46:54,https://dashboard.browse.ai/teams/personal/robots/08b97ebd-3b8b-4af9-8d6e-af070d2ea256/history/fd0ebb5e-7e9c-4e36-b34d-56328714d373,https://hearthhollowhomes.bookeddirectly.com/g/palmyra/adorable-farmhouse-style-houseboat/58064c?number_of_guests=1,Adorable Farmhouse-Style Houseboat,"962 Jefferson Drive, Palmyra",1 bedroom 3 beds 6 guests 1 bathroom,"Unfortunately, we are unable to take bookings at this time.

****************************
Don't vacation NEAR the lake...vacation ON the lake! Relax in our adorable floating houseboat on Lake Allatoona. Kitchen, bathroom and shower! Click the ❤️to Wishlist us!

Our boat has been lovingly maintained and updated using beautiful reclaimed materials. You'll find her relaxing, cozy, & comfortable. Sip morning coffee or evening cocktails on the deck overlooking our beautiful cove with amazing views.

A sweet houseboat with a main cabin (living room) that sleeps 2 on the Full size pull out sofa. Queen size bed in the bedroom area (with draw curtains for privacy) and a dining bench which converts to a Full size bed (best for kids or adventurous adults.) You can also pitch a tent or hang a hammock on the top deck to slumber al fresco.

FAQ:

Q: Location?
A: White, GA on Lake Allatoona
The boat is located in a private marina where our boat is slipped. You'll have a stunning view of the cove and sunsets in our coveted end slip space with unrestricted view angles.

Q: How can I see all of your listings for rent?
A: Click on our Airbnb profile (the round photo) & scroll all the way to the bottom below the aggregated reviews (on Mobile) or look to the left (on Desktop). You’ll see all of our listings - or check them out by clicking the link below:

Listing Page: https://www.airbnb.com/users/633945/listings

Q: 1 Night Reservations?
A: We kindly ask that you do NOT instant book for 1 night reservations. We handle 1 night reservations on a case-by-case basis depending on availability. We will respond to an inquiry promptly, most of the time immediately.

Q: Is it comfortable?
A: Yes! Our boat was designed with live-aboard ☆ stay-aboard in mind with all the comforts of home. We've stocked the kitchen, used premium furnishings, provided WiFi, TVs, a Keurig … etc. Just bring your swimsuit!

Q: How to book:
A: If you don’t have any questions after reading over the FAQ below then simply use Instant Book. If you send an inquiry we’ll respond promptly.

Q: Why is the price so different for my dates?
A: Airbnb automatically sets our prices based on demand & seasonality. If you don’t search with exact dates, Airbnb shows the lowest price throughout the season. Prices range from about $87 per night for weekday day-of bookings in January all the way to $300+ per night for weekends during peak summer season, special events and everywhere in-between.

Q: Bathroom… explain!
A: The boat is equipped with an apartment sized water heater ensuring you get hot water throughout the boat. You'll always have enough hot water to enjoy a 10 - 15 minute shower. The boat has a marine toilet that is easy to use as long as you follow our simple instructions.

Q: Heat? Air Conditioning?
A: Our boat is equipped with BOTH ample Heat & Air Conditioning. No matter the time of year, you can be assured that you will be staying in climate controlled comfort.

Q: Can we take the boat out on the lake?
A: No. We don’t carry insurance for self-charters and the boat stays permanently docked for a variety of reasons. We DO however have a 26' Tritoon that is available for rental (separate from the houseboat.)

Q: Can I check in earlier than 4 or check out later than 11?
A: We will do our best. Most days there’s someone checking in on the same day there’s a checkout, but we try to go above and beyond if this is requested. If it's available, you can order extra hours for an additional fee at our concierge link provided upon booking.

Q: Is there housekeeping during our stay?
A: Generally, no. However, you can order cleaning to be provided as often as you wish for an additional fee (subject to our housekeeper's availability) at our concierge link provided upon booking.

Q: Can we fish from the dock or boats?
A: Absolutely! We ask that you fish from the back of the vessel and stay clear of the props so your line doesn’t get prop/shaft wrapped. Fishing from the dock is also allowed as long as you mind the props of the other vessels. You can easily get a fishing license from the Department of Natural Resources online. We operate on the honor system and don’t check for licenses but ask that you support the local DNR and pay the small fee to make it legal. We can't be responsible for any fines you may incur if you don't get your fishing license. There are several bait and fishing shops you may rent/buy fishing equipment from in the area.

Q: What to expect that's different than a hotel?
A: It's a boat! It is a unique, FUN experience. There are probably noises and smells that you'd expect from a boat in water. Pumps, motors, lake water, etc. We take great care of our boat, but we expect guests to tell us if anything isn’t working properly and we will respond promptly. Think of it as ""glamping"" and your expectations will be exceeded.

Q: Waves?
A: The marina has a wall which minimizes waves. There is still a small amount of wave action and you'll feel a slight rock from time-to-time, mostly from boats passing by who don’t respect the 'no wake zone' (feel free to yell at them and shake your fist while doing so.) If there's a bad storm or the rocking action gets to a point that your stay is no longer enjoyable, we will do our best (no guarantees) to work out alternate accommodation as a COURTESY for you, as we have another listing about 35 minutes away in Marietta. Your comfort is our top priority. 99% of the time the marina is flat and calm.

Q: Will you reduce your price?
A: No (-ish)... Maybe, but unlikely. Don’t expect a price reduction unless it’s the slow season & you’re messaging about days within 1-4 days of check-in or you’re looking for a long-term stay in the off season (see next “Q”). If you message us with a booking that somewhat fits the criteria above & tell us a budget we can try & work with you. “Will you reduce the price of a weekend booking a month away” will always be a “no”.

Q: Do you do long-term or monthly rentals?
A: Possibly. From March 1 - November 15 the boat is rented at a 90% occupancy rate, so the monthly rate is only slightly reduced compared to the daily rate (around 10%). From mid-November through February we’re much more flexible depending on length of stay.

Q: Smoking?
A: On the outside only & please be responsible. Kindly don’t light the boat on fire - we need it to stay afloat!

Q: Do you allow dogs?
A: You bet! We ask that dogs not be puppies, don’t scratch at doors, flooring, carpet or anything else, and don’t bark incessantly. Dogs must always be on-leash, as per marina rules. Dogs may not enter the inside cabin space, but may be free to stay on the dock, deck and outside upper deck areas. You may not leave your dog alone on the boat. The boats are close together and a non-stop barking dog isn’t appreciated. An additional $75 non-refundable pet fee PER DOG is applied for those who travel with them. It also should go without saying: No messes on the decking, and you MUST pick up after your dog.

Q: Can we hold events or parties?
A: No. This is a place to relax. We ask that there be no events or parties on the boats so the other guests can enjoy their stay.

Q: You charge extra for more than 4 adults, do my kids count?
A: Any child over the age of 3 is considered a paying guest and needs to be represented in the booking inquiry as an additional guest.

Q: Wheelchair accessible?
A: Unfortunately, no.

Q: Parking?
A: Yes, you can park your car. Since it’s a small private marina, the walk to the parking lot from the boat is quite short, though we are at the end of our particular dock (it has the BEST views!)

Q: Will this be the best vacation I’ve ever had and should I book now?
A: Without a doubt.

You get to park for free as close to the boat as possible in the parking lot. There are dock carts if you want to use them to haul your luggage and stuff down the ramp to the boat.

You will receive an access code to open the key lock box for both the boat key and the gate card just before the time your reservation begins. We recommend you leave the key inside the lock box whenever you leave the dock so that it doesn't get lost. ***IF YOU ARRIVE AFTER 5PM the parking lot gate will be CLOSED. You will need to walk down to the dock and collect the gate key from the lockbox in order to gain access for your vehicle. Please make sure you bring a good flashlight, as it is a several minute walk.***

You will be given all instructions needed to access the boat for your stay prior to arrival. We are always available to answer any questions or concerns for you, and we do our best to address any individual problems ASAP for you to ensure you have an enjoyable stay! Your satisfaction is our #1 goal!

The marina is a very fun community of ""lake life"" neighbors and boaters. Everyone will want to come say hello! Say hello back, share a beer and enjoy the sunsets!

I highly recommend using ride-sharing services if you don't have a vehicle:

For free Uber credit, use my code - emilyc3562ue
For $20 in Lyft credit, use my code - emily27414

☆1 night rentals: We do them but on a case-by-case basis. Please inquire for 1 night rentals. DO NOT send Instant Book for 1 night rentals - however, we will promptly respond to a reservation request. Most of the time we will respond within minutes.

☆PETS: Allowed with pre-approval. Non-refundable pet fee of $75 will be charged. We do not accept pets that fall into the following categories:

→No dogs that bark excessively or scratch/dig.
→No dogs who attack or chase other dogs (or humans!) as there may be dogs with other marina guests.

☆If you arrive AFTER 5pm, the gate will be CLOSED. You will need to walk around the gate and down to the dock to retrieve the gate key card from the key lock box at the houseboat in order to open the gate and drive through to the parking lot. Please keep track of both the boat key and the gate card - there will be a $50 replacement fee per item.","Oven
Microwave
Coffee Maker
Dishes & Utensils
Kitchen
Pantry Items
Refrigerator
Stove
Internet
Air Conditioning
Heating
Linens Provided
Towels Provided
Free parking on premises
Television
Outdoor Grill
Fire extinguisher
Carbon monoxide detector
Smoke detector","Check-in: 3pm
Check-out: 11am",,"$2913

per night",$ USD
2023-05-19 17:47:06,https://dashboard.browse.ai/teams/personal/robots/08b97ebd-3b8b-4af9-8d6e-af070d2ea256/history/8fd830e4-4b96-4d17-9430-0ae95fff6696,https://hearthhollowhomes.bookeddirectly.com/g/marietta/3-bed-2-bath-ranch/884a71?number_of_guests=1,3 bed 2 bath ranch,"2948 Brookridge Ct, Marietta",3 bedrooms 6 beds 2 guests 2 bathrooms,"The Brookridge Inn

This is a snoozed listing. Not available for booking.

This is a snoozed listing. Not available for booking.

This is a snoozed listing. Not available for booking.

I highly recommend using ride-sharing services:
For free Uber credit, use my code - emilyc3562ue
For $20 in Lyft credit, use my code - emily27414

Bus station is located approximately 7 minutes away by car.

This is a snoozed listing. Not available for booking.","Oven
Microwave
Coffee Maker
Dishes & Utensils
Dishwasher
Kitchen
Pantry Items
Refrigerator
Stove
Internet
Air Conditioning
Heating
Washing Machine
Clothes Dryer
Linens Provided
Towels Provided
Free parking on premises
Free street parking
Hair Dryer
Iron & Board
Fireplace
Television
Toys
Lawn / Garden
Outdoor Grill
Fire extinguisher
Carbon monoxide detector
Smoke detector","Check-in: 4pm
Check-out: 11am",,"$2913

per night",$ USD
2023-05-19 17:47:16,https://dashboard.browse.ai/teams/personal/robots/08b97ebd-3b8b-4af9-8d6e-af070d2ea256/history/ebc4cd98-0784-4237-b14e-c8db6563b423,https://dwellamode.bookeddirectly.com/g/canterbury/%25E2%2580%2598the-george%25E2%2580%2599---hot-tub---garden---classic-video-games-area---parking/5a4031?number_of_guests=1,‘The George’ - Hot Tub - Garden - Classic Video Games Area - Parking,"6 Scott Avenue, Canterbury","5 bedrooms
6 beds
12 guests
4 bathrooms","Beautiful, large private 5 bedroom 4 bathroom (2 en-suites) property set in a leafy quiet area 1 minutes drive from the city center. Ideal for family & business but unsuitable for parties. All you could require is available for your use, fully stocked kitchen, garden & private parking. The George also features an entertainment area with a 2 player, 3000 Arcade classics game console completed with a 40inch HD monitor. All areas. We use Whats App to communicate with guests. Quiet ,Residential. All indoor & outdoor dining ware & table dressings pictured are stored at the property for you to recreate the images in the gallery if you wish. A security/damage deposit via a Stripe Transfer plus photo ID is required to complete the reservation.","Oven
Microwave
Coffee Maker
Dishes & Utensils
Dishwasher
Kitchen
Pantry Items
Refrigerator
Internet
Heating
Washing Machine
Linens Provided
Towels Provided
Free parking on premises
Free street parking
Hair Dryer
Iron & Board
Television
Toys
Balcony
Lawn / Garden
Outdoor Grill
Fire extinguisher
Carbon monoxide detector
Smoke detector","Check-in: 3am
Check-out: 10am","Queen bed
Queen bed
Queen bed
King bed
King bed
Sofa bed","£500

per night",£ GBP
2023-05-19 17:47:21,https://dashboard.browse.ai/teams/personal/robots/08b97ebd-3b8b-4af9-8d6e-af070d2ea256/history/51f27dee-abc9-49b8-bbe4-654d50607b91,https://dwellamode.bookeddirectly.com/g/canterbury/%25E2%2580%2598the-blean%25E2%2580%2599-canterbury-garden-parking-wifi/c42b15?number_of_guests=1,‘The Blean’-Canterbury-Garden-Parking-Wifi,"24 Hillside Avenue, Canterbury","1 bedroom
3 beds
3 guests
1 bathroom","Set in a leafy quiet residential area 2 minutes drive from the City Walls , ‘The Blean’ offers a cosy retreat with a fully stocked kitchen and complimentary Netflix. Relax with a private garden and enjoy your stay. We use WhatsApp or Telegram for guest communication. 2 minutes drive from the city walls. A security/damage deposit via a Stripe Transfer plus photo ID of the attendees are required to complete the reservation. Parties or nuisance behaviour will not be tolerated. All guests will be removed if any breach of terms or complaints are made.","Oven
Microwave
Coffee Maker
Dishes & Utensils
Kitchen
Pantry Items
Refrigerator
Internet
Heating
Washing Machine
Linens Provided
Towels Provided
Free parking on premises
Free street parking
Hair Dryer
Iron & Board
Television
Balcony
Lawn / Garden
Outdoor Grill
Fire extinguisher
Carbon monoxide detector
Smoke detector","Check-in: 4pm
Check-out: 10am",,"£80

per night",£ GBP
2023-05-19 17:47:27,https://dashboard.browse.ai/teams/personal/robots/08b97ebd-3b8b-4af9-8d6e-af070d2ea256/history/a7f6d62a-f345-42c4-8ce4-c27c49cb3293,https://dwellamode.bookeddirectly.com/g/canterbury/%25E2%2580%2598the-hillside%25E2%2580%2599-canterbury-parking-super-fast-wifi/040ac6?number_of_guests=1,‘The Hillside’-Canterbury-Parking-Super Fast WiFi,"24 Hillside Avenue, Canterbury","4 bedrooms
5 beds
10 guests
2 bathrooms","Beautiful large private 4 bedroom property set in a leafy quiet area 2 minutes drive from the city centre ideal for family, business and friend meets but unsuitable for parties. All you could require is available for your use, fully stocked kitchen,regular linen changes for longer stays. There is no rear garden, only a small lawned front garden. Contact us direct ahead of your stay, feel free to get in touch. All spaces are available for use to our guests. Our guests can access all areas of the property. We use Whats App to communicate with guests. Close to Canterbury City Centre. Perfect for Business or Leisure. 2 minutes drive to the City Centre. A security/damage deposit via a Stripe Transfer or Airbnb plus photo ID of the attending booker is required by us to complete your reservation prior to check in.","Oven
Microwave
Coffee Maker
Dishes & Utensils
Dishwasher
Kitchen
Pantry Items
Refrigerator
Stove
Internet
Heating
Washing Machine
Linens Provided
Towels Provided
Free parking on premises
Free street parking
Hair Dryer
Iron & Board
Television
Toys
Lawn / Garden
Fire extinguisher
Carbon monoxide detector
Smoke detector","Check-in: 4pm
Check-out: 10am","Queen bed
Queen bed
Queen bed
King bed
King bed","£193

per night",£ GBP
